time,flight_id,event,gate,wait_time,task,duration
792.5,FL032,task_completed,,,BAGGAGE_OUT,
794.5,FL030,task_completed,,,CLEAN,
794.5,FL030,task_completed,,,CATERING,
796.5,FL033,task_completed,,,WATER,
797.4,FL031,task_completed,,,CLEAN,
797.4,FL031,task_completed,,,CATERING,
797.5,FL032,task_completed,,,CLEAN,
797.5,FL032,task_completed,,,CATERING,
801.5,FL033,task_completed,,,FUEL,
806.5,FL033,task_completed,,,BAGGAGE_OUT,
809.5,FL030,task_completed,,,BAGGAGE_IN,
809.5,FL030,task_completed,,,GPU,
809.5,FL030,gate_end,c9,,,40.5
811.5,FL033,task_completed,,,CLEAN,
811.5,FL033,task_completed,,,CATERING,
812.4,FL031,task_completed,,,BAGGAGE_IN,
812.4,FL031,task_completed,,,GPU,
812.4,FL031,gate_end,c8,,,40.39999999999998
812.5,FL032,task_completed,,,BAGGAGE_IN,
812.5,FL032,task_completed,,,GPU,
812.5,FL032,gate_end,c4,,,40.5
817.0,FL034,gate_queued,c5,,,
817.0,FL034,gate_start,c5,0.0,,
826.5,FL033,task_completed,,,BAGGAGE_IN,
826.5,FL033,task_completed,,,GPU,
826.5,FL033,gate_end,c3,,,40.5
827.3,FL034,task_completed,,,WATER,
832.3,FL034,task_completed,,,FUEL,
834.0,FL035,gate_queued,c11,,,
834.0,FL035,gate_start,c11,0.0,,
837.3,FL034,task_completed,,,BAGGAGE_OUT,
842.3,FL034,task_completed,,,CLEAN,
842.3,FL034,task_completed,,,CATERING,
844.7,FL035,task_completed,,,WATER,
848.0,FL036,gate_queued,c3,,,
848.0,FL036,gate_start,c3,0.0,,
849.7,FL035,task_completed,,,FUEL,
851.0,FL037,gate_queued,c9,,,
851.0,FL037,gate_start,c9,0.0,,
853.0,FL038,gate_queued,c4,,,
853.0,FL038,gate_start,c4,0.0,,
854.7,FL035,task_completed,,,BAGGAGE_OUT,
857.3,FL034,task_completed,,,BAGGAGE_IN,
857.3,FL034,task_completed,,,GPU,
857.3,FL034,gate_end,c5,,,40.299999999999955
858.5,FL036,task_completed,,,WATER,
859.7,FL035,task_completed,,,CLEAN,
859.7,FL035,task_completed,,,CATERING,
861.5,FL037,task_completed,,,WATER,
863.5,FL036,task_completed,,,FUEL,
863.5,FL038,task_completed,,,WATER,
866.5,FL037,task_completed,,,FUEL,
868.5,FL036,task_completed,,,BAGGAGE_OUT,
868.5,FL038,task_completed,,,FUEL,
871.5,FL037,task_completed,,,BAGGAGE_OUT,
873.5,FL036,task_completed,,,CLEAN,
873.5,FL036,task_completed,,,CATERING,
873.5,FL038,task_completed,,,BAGGAGE_OUT,
874.7,FL035,task_completed,,,BAGGAGE_IN,
874.7,FL035,task_completed,,,GPU,
874.7,FL035,gate_end,c11,,,40.700000000000045
876.5,FL037,task_completed,,,CLEAN,
876.5,FL037,task_completed,,,CATERING,
877.0,FL039,gate_queued,c8,,,
877.0,FL039,gate_start,c8,0.0,,
878.5,FL038,task_completed,,,CLEAN,
878.5,FL038,task_completed,,,CATERING,
881.0,FL040,gate_queued,c5,,,
881.0,FL040,gate_start,c5,0.0,,
887.4,FL039,task_completed,,,WATER,
888.5,FL036,task_completed,,,BAGGAGE_IN,
888.5,FL036,task_completed,,,GPU,
888.5,FL036,gate_end,c3,,,40.5
891.3,FL040,task_completed,,,WATER,
891.5,FL037,task_completed,,,BAGGAGE_IN,
891.5,FL037,task_completed,,,GPU,
891.5,FL037,gate_end,c9,,,40.5
892.4,FL039,task_completed,,,FUEL,
893.5,FL038,task_completed,,,BAGGAGE_IN,
893.5,FL038,task_completed,,,GPU,
893.5,FL038,gate_end,c4,,,40.5
896.3,FL040,task_completed,,,FUEL,
897.4,FL039,task_completed,,,BAGGAGE_OUT,
899.0,FL041,gate_queued,c3,,,
899.0,FL041,gate_start,c3,0.0,,
901.3,FL040,task_completed,,,BAGGAGE_OUT,
902.4,FL039,task_completed,,,CLEAN,
902.4,FL039,task_completed,,,CATERING,
906.3,FL040,task_completed,,,CLEAN,
906.3,FL040,task_completed,,,CATERING,
909.5,FL041,task_completed,,,WATER,
914.5,FL041,task_completed,,,FUEL,
915.0,FL042,gate_queued,c11,,,
915.0,FL042,gate_start,c11,0.0,,
917.4,FL039,task_completed,,,BAGGAGE_IN,
917.4,FL039,task_completed,,,GPU,
917.4,FL039,gate_end,c8,,,40.39999999999998
919.5,FL041,task_completed,,,BAGGAGE_OUT,
921.3,FL040,task_completed,,,BAGGAGE_IN,
921.3,FL040,task_completed,,,GPU,
921.3,FL040,gate_end,c5,,,40.299999999999955
924.5,FL041,task_completed,,,CLEAN,
924.5,FL041,task_completed,,,CATERING,
925.7,FL042,task_completed,,,WATER,
929.0,FL043,gate_queued,c8,,,
929.0,FL043,gate_start,c8,0.0,,
930.7,FL042,task_completed,,,FUEL,
935.0,FL044,gate_queued,c4,,,
935.0,FL044,gate_start,c4,0.0,,
935.7,FL042,task_completed,,,BAGGAGE_OUT,
939.4,FL043,task_completed,,,WATER,
939.5,FL041,task_completed,,,BAGGAGE_IN,
939.5,FL041,task_completed,,,GPU,
939.5,FL041,gate_end,c3,,,40.5
940.7,FL042,task_completed,,,CLEAN,
